part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
Yes,5,Yes,14,Artist,70,94,92,31,7,87,63
Yes,26,Yes,28,Doctor,76,19,26,19,18,41,9
Yes,11,No,4,Teacher,95,48,8,36,35,46,86
No,20,No,4,Teacher,14,18,49,16,34,1,16
Yes,17,Yes,17,Engineer,92,82,58,79,0,89,69
Yes,18,No,18,Engineer,23,64,86,11,54,85,17
Yes,17,Yes,0,Artist,50,60,30,32,68,5,47
No,12,No,26,Engineer,44,23,80,23,88,54,24
Yes,20,No,23,Doctor,99,23,17,100,93,16,26
Yes,13,Yes,20,Teacher,96,94,67,31,7,8,38
Yes,10,No,30,Teacher,33,8,45,71,24,23,25
Yes,12,No,20,Teacher,31,70,11,21,24,75,90
Yes,4,No,25,Doctor,92,88,25,4,14,23,99
No,4,No,2,Entrepreneur,19,76,59,74,57,32,72
Yes,28,No,2,Engineer,11,50,21,45,51,50,27
No,20,Yes,27,Entrepreneur,6,19,85,96,63,96,74
Yes,19,No,27,Entrepreneur,58,80,49,27,63,16,53
Yes,16,No,24,Doctor,44,93,97,89,90,87,75
Yes,25,Yes,16,Doctor,49,27,30,93,17,39,87
Yes,27,Yes,3,Teacher,10,62,81,6,73,38,84
No,16,No,26,Engineer,9,40,97,36,42,78,25
Yes,18,No,1,Teacher,89,21,76,23,44,6,30
Yes,21,Yes,29,Doctor,92,37,29,1,35,4,68
Yes,22,Yes,16,Artist,24,30,55,25,87,95,94
No,28,No,27,Engineer,48,86,47,49,55,37,78
No,10,No,22,Engineer,19,2,94,47,64,84,92
No,5,No,15,Teacher,20,13,26,14,85,30,96
Yes,1,No,14,Entrepreneur,11,49,51,57,43,46,15
No,14,No,13,Doctor,11,12,51,29,83,16,15
Yes,3,No,27,Engineer,13,9,6,93,67,32,13
No,0,No,26,Teacher,21,100,93,24,17,53,35
No,6,Yes,6,Artist,35,62,82,23,7,28,78
No,3,Yes,18,Entrepreneur,73,93,63,42,77,83,64
No,3,No,5,Artist,48,55,29,52,22,40,53
Yes,19,Yes,1,Engineer,61,85,29,69,36,58,97
No,19,Yes,11,Doctor,77,97,79,98,61,20,63
No,22,No,9,Teacher,61,8,35,74,41,21,26
No,20,No,16,Entrepreneur,45,63,36,26,47,6,46
Yes,1,No,28,Teacher,33,51,71,76,29,87,42
Yes,9,No,9,Engineer,44,15,70,2,87,62,82
Yes,17,No,13,Artist,95,92,63,68,72,46,28
No,19,No,5,Doctor,48,43,8,29,80,15,36
Yes,20,Yes,2,Engineer,71,53,17,60,67,53,73
No,29,Yes,27,Teacher,9,13,62,55,24,45,70
Yes,15,No,14,Teacher,43,93,82,84,84,35,51
No,28,Yes,22,Doctor,36,88,24,42,62,74,21
No,5,Yes,7,Entrepreneur,84,37,78,25,13,83,39
No,3,No,20,Engineer,94,48,80,22,27,82,42
No,19,No,11,Doctor,49,45,82,91,46,35,67
Yes,16,Yes,21,Engineer,80,70,55,69,76,66,28
No,8,Yes,1,Artist,66,66,24,58,79,81,96
Yes,6,Yes,22,Artist,75,23,93,13,76,71,13
Yes,7,Yes,12,Engineer,70,63,42,87,97,53,29
Yes,14,No,30,Teacher,43,69,89,60,37,18,21
Yes,3,Yes,15,Entrepreneur,70,85,53,94,34,33,96
Yes,22,Yes,30,Doctor,50,83,96,47,50,99,19
Yes,29,Yes,2,Artist,78,80,52,71,52,96,9
Yes,1,No,21,Doctor,51,53,63,5,95,98,65
Yes,3,Yes,28,Teacher,37,7,83,32,14,37,86
Yes,30,Yes,30,Teacher,0,22,49,48,20,49,11
No,19,No,12,Artist,49,92,68,35,64,41,63
Yes,25,Yes,10,Engineer,20,67,16,80,42,26,89
No,4,Yes,13,Doctor,47,52,52,85,40,10,73
Yes,30,Yes,12,Artist,11,6,36,58,11,84,77
Yes,14,No,27,Teacher,35,77,34,80,57,50,90
Yes,10,Yes,21,Entrepreneur,35,37,58,65,84,42,23
No,13,No,9,Doctor,90,69,67,29,71,61,87
No,15,Yes,16,Engineer,88,29,6,2,40,83,78
Yes,14,No,21,Doctor,29,6,12,47,74,34,70
Yes,30,Yes,12,Engineer,27,43,75,3,44,58,21
Yes,15,No,5,Entrepreneur,87,36,10,7,58,99,58
No,22,No,16,Entrepreneur,92,41,78,90,76,83,46
Yes,24,No,17,Teacher,6,29,82,29,12,39,83
No,13,Yes,30,Doctor,11,75,1,11,20,13,79
No,29,No,27,Engineer,9,91,3,57,36,78,95
No,20,No,19,Engineer,19,49,29,63,16,32,46
No,2,Yes,27,Teacher,71,100,51,76,82,8,43
No,2,Yes,29,Doctor,51,98,34,23,98,17,50
No,10,No,20,Engineer,2,59,63,29,70,75,89
Yes,8,No,22,Doctor,17,46,84,60,55,93,83
Yes,24,No,11,Engineer,44,64,21,88,51,53,76
No,5,No,0,Artist,67,73,98,16,66,88,4
No,6,Yes,18,Entrepreneur,34,16,10,18,62,1,83
No,26,Yes,10,Doctor,91,70,39,14,13,10,67
Yes,18,No,16,Entrepreneur,100,88,56,9,36,47,63
No,16,Yes,14,Entrepreneur,7,10,90,96,12,63,91
No,28,Yes,21,Engineer,35,42,86,75,97,42,66
No,21,No,8,Entrepreneur,6,41,9,59,64,97,35
No,29,No,2,Artist,63,28,34,28,81,46,93
Yes,11,No,1,Artist,99,31,66,81,29,37,36
No,1,Yes,6,Artist,91,89,32,85,76,95,75
No,10,No,20,Doctor,51,81,13,17,82,68,33
Yes,27,Yes,17,Teacher,15,1,84,79,49,26,67
Yes,5,No,5,Doctor,45,11,14,23,9,45,28
No,24,No,23,Entrepreneur,23,67,48,78,26,76,86
No,13,No,17,Artist,95,34,26,41,62,27,37
Yes,5,Yes,19,Entrepreneur,1,90,95,32,6,36,81
Yes,23,No,2,Artist,12,22,43,30,49,3,76
Yes,5,No,16,Teacher,32,57,91,49,73,32,89
Yes,12,Yes,23,Doctor,28,39,52,30,2,94,79
No,9,No,10,Doctor,84,38,16,82,17,80,45
Yes,15,No,15,Entrepreneur,70,24,34,52,36,41,37
No,6,Yes,8,Teacher,63,78,66,97,71,12,11
Yes,19,No,8,Entrepreneur,92,52,26,60,36,13,23
No,10,Yes,27,Doctor,1,43,20,53,98,93,94
Yes,28,No,7,Teacher,6,1,14,54,52,36,80
No,14,Yes,26,Artist,57,22,47,11,53,83,79
Yes,24,Yes,18,Teacher,47,56,19,92,68,90,99
Yes,22,Yes,0,Doctor,21,68,2,61,11,7,89
Yes,6,No,13,Doctor,82,66,42,54,5,61,75
Yes,3,No,19,Entrepreneur,52,0,76,74,30,99,46
Yes,11,No,16,Doctor,66,57,63,8,86,65,13
No,22,Yes,13,Doctor,87,54,95,67,91,63,2
No,4,Yes,17,Doctor,61,91,30,52,63,42,81
Yes,8,No,19,Engineer,100,94,2,46,25,15,71
Yes,7,Yes,13,Artist,95,22,29,59,27,28,20
No,15,Yes,3,Artist,64,52,43,91,0,78,78
No,12,No,7,Doctor,99,13,86,68,79,89,48
Yes,18,Yes,10,Entrepreneur,85,100,86,2,43,90,43
Yes,5,No,23,Teacher,41,8,71,20,10,22,91
No,19,No,7,Doctor,98,8,4,14,44,22,93
No,3,No,8,Artist,54,21,42,87,54,90,8
Yes,14,No,17,Teacher,66,95,28,69,17,47,60
Yes,6,No,9,Artist,97,94,10,35,20,21,52
Yes,10,No,21,Entrepreneur,18,78,84,91,36,2,95
Yes,21,Yes,13,Entrepreneur,75,93,56,100,20,26,26
No,3,No,25,Artist,28,43,71,97,88,35,87
No,4,No,24,Artist,19,73,81,71,84,31,68
Yes,7,No,1,Doctor,28,88,94,50,44,73,18
Yes,28,No,27,Doctor,29,13,98,82,71,16,41
No,7,Yes,15,Entrepreneur,38,56,67,58,36,77,92
Yes,8,Yes,23,Teacher,74,72,58,69,91,44,39
Yes,4,No,12,Teacher,44,31,66,65,44,36,100
Yes,8,Yes,9,Artist,56,81,74,3,30,96,35
Yes,7,Yes,2,Artist,11,3,80,52,49,75,94
Yes,4,Yes,17,Entrepreneur,77,38,44,22,53,55,2
No,11,No,21,Artist,5,22,71,23,50,53,55
Yes,23,Yes,7,Teacher,61,84,39,24,45,91,94
Yes,4,Yes,12,Entrepreneur,29,70,89,97,79,45,77
Yes,24,Yes,7,Doctor,8,72,87,62,61,17,26
Yes,3,No,16,Engineer,94,11,95,33,6,53,32
Yes,6,Yes,16,Doctor,1,43,41,27,17,78,12
No,4,Yes,19,Doctor,76,0,64,63,86,100,76
No,25,Yes,27,Doctor,54,30,81,38,64,22,58
No,12,Yes,1,Artist,4,7,73,41,93,68,58
